fips,Percent-of-Population-Under-15-(2017-2021),Percent-of-Population-Aged-15-to-64-(2017-2021),Percent-of-Population-65+-(2017-2021),Percent-of-Population-White-(non-Hispanic)-(2017-2021),Percent-of-Populaiton-Black-(non-Hispanic)-(2017-2021),Percent-of-Population-Hispanic-or-Latino-(2017-2021),Percent-of-Population-Asian-(non-Hispanic)-(2017-2021),Percent-of-Population-Native-American/Alaska-Native-(non-Hispanic)-(2017-2021),Percent-of-Population-Native-Hawaiian/Pacific-Islander-(2017-2021),Percent-of-Population-Aged-25+-who-Have-at-Least-a-High-School-Diploma-(2017-2021),Percent-of-Population-Aged-25+-who-Have-a-Bachelor's-Degree-or-More-(2017-2021),Poverty-Rate-(2017-2021),Median-Household-Income-(2017-2021),Unemployment-Rate-(2017-2021),Percent-of-Residents-with-a-Disability-(Aged-18-64)-(2017-2021),%-of-households-with-broadband-internet-connection-(2017-2021),Percent-of-Popualtion-Employed-in-Mining-and-Natural-Resources-(2017-2021),Percent-of-Popualtion-Employed-in-Construction-(2017-2021),Percent-of-Popualtion-Employed-in-Manufacturing-(2017-2021),Percent-of-Popualtion-Employed-in-Trade-Transporation-and-Utilities-(2017-2021),Number-of-Substance-Use-Facilities-(As-of-March-2023),Number-of-Mental-Health-Facilities-(As-of-March-2023),MDsPerCapita,Urbanicity,Social-Resilience-Score,Economic-Risk-Score,Social-Risk-Score,Economic-Resilience-Score,Prosperity-Index-Score,death-rate-2018-2021
48355,0.2031,0.6517,0.1452,0.2844,0.035,0.6464,0.021,0.0014,0.0003,0.8411,0.2194,0.1718,59477,0.0598,0.1038,0.8545,0.0197,0.0898,0.0452,0.1764,5,6,5.06,Urban,4,3,3,3,3,28.28102287
48357,0.2554,0.6397,0.1049,0.416,0.0007,0.5563,0.0045,0.0059,0,0.7666,0.1883,0.1202,57413,0.0192,0.1024,0.8308,0.3404,0.075,0.0049,0.1925,0,0,0,Rural,4,4,2,3,3,39.74957766
48359,0.2426,0.6357,0.1217,0.7019,0.0458,0.2346,0.0098,0,0,0.8743,0.2384,0.1216,68077,0.0152,0.053,0.841,0.1242,0,0,0.1031,0,0,0,Urban,3,3,2,4,3,44.42470013
48361,0.2077,0.6367,0.1556,0.7931,0.0864,0.0852,0.0083,0.0015,0.0005,0.8896,0.1676,0.12,68756,0.0537,0.1473,0.8871,0.0041,0.1016,0.2057,0.2038,2,0,2.39,Urban,5,3,4,4,4,54.0890117
48363,0.2005,0.6039,0.1956,0.7357,0.0247,0.2032,0.0099,0.0021,0,0.8686,0.1747,0.139,59796,0.0688,0.1302,0.8535,0.0556,0.0415,0.1718,0.1943,1,1,0,Rural,4,2,3,3,3,31.79874925
48365,0.1913,0.6121,0.1967,0.727,0.1313,0.0912,0.0067,0.0008,0,0.8267,0.1351,0.1356,54853,0.028,0.1233,0.8193,0.1054,0.1789,0.1173,0.1736,0,1,0,Rural,4,3,4,4,4,35.42487712
48367,0.2051,0.641,0.1539,0.8178,0.0142,0.1325,0.0068,0.0021,0.0002,0.8966,0.2893,0.0779,88535,0.0432,0.0916,0.8995,0.0385,0.0828,0.0883,0.2308,3,2,3.24,Urban,3,1,2,2,1,24.86136337
48369,0.2404,0.6142,0.1453,0.3266,0.01,0.6473,0,0.0024,0,0.7329,0.1801,0.109,62885,0.0222,0.0909,0.8487,0.2324,0,0,0.0735,0,0,0,Rural,5,4,3,3,4,40.51043144
48371,0.2085,0.6654,0.1261,0.2416,0.0334,0.6941,0.0091,0.0101,0.0016,0.7497,0.1148,0.2189,55652,0.0132,0.0666,0.7303,0.1272,0.0596,0.0137,0.2181,0,1,0,Rural,5,5,4,4,5,32.89040916
48373,0.1689,0.6462,0.1849,0.7096,0.0889,0.1552,0.0084,0.0113,0.0005,0.8038,0.1306,0.1589,52826,0.0946,0.2058,0.8061,0.0194,0.0502,0.1122,0.1899,1,1,4.29,Rural,4,2,5,5,4,36.45791137
48375,0.2309,0.6427,0.1264,0.4285,0.1002,0.394,0.0516,0.0045,0.0007,0.7649,0.1583,0.2045,45096,0.0358,0.1086,0.8123,0.0084,0.0487,0.1128,0.1911,7,1,4.1,Urban,4,4,4,3,4,40.32156448
48377,0.1865,0.5992,0.2143,0.1568,0,0.8004,0.0136,0.0186,0,0.5209,0.1778,0.3389,26395,0.0784,0.1026,0.6351,0.129,0.0111,0.0149,0.1376,0,1,0,Rural,3,5,5,5,5,47.40834387
48379,0.1564,0.6054,0.2382,0.8398,0.0284,0.095,0.0108,0.0092,0,0.8636,0.1884,0.1162,55758,0.0387,0.1552,0.8124,0.0194,0.1186,0.0489,0.1995,0,1,0,Rural,5,1,3,5,3,33.2972613
48381,0.2002,0.6488,0.151,0.6921,0.0294,0.233,0.0187,0.0027,0.0017,0.9372,0.3222,0.0975,70544,0.0316,0.0879,0.906,0.0129,0.0815,0.0439,0.2791,0,0,2.33,Urban,3,1,2,4,2,20.83692591
48383,0.2751,0.6262,0.0987,0.2554,0.0211,0.6937,0.0184,0,0,0.8517,0.1374,0.0818,62829,0.0636,0.0298,0.8297,0.369,0.0208,0,0.2606,0,0,0,Rural,4,4,3,2,3,29.73535534
48385,0.1676,0.5109,0.3215,0.7546,0.0137,0.2311,0,0,0,0.8925,0.16,0.261,44083,0.0141,0.224,0.6999,0.0291,0.0412,0.0347,0.1853,0,0,0,Rural,1,4,5,3,3,35.0631136
48387,0.1667,0.5865,0.2468,0.7318,0.1469,0.0759,0.0061,0.0107,0.0003,0.8777,0.1473,0.214,40674,0.043,0.1614,0.7151,0.0634,0.0601,0.1699,0.1363,0,1,0,Rural,5,4,5,5,5,34.23192127
48389,0.1804,0.6973,0.1223,0.2257,0.0069,0.7505,0.0119,0.0004,0.0019,0.7048,0.0954,0.1745,53548,0.0652,0.0849,0.6845,0.1649,0.1441,0.0169,0.2278,0,1,0,Rural,5,4,5,3,5,34.28414701
48391,0.1901,0.5871,0.2228,0.4044,0.0655,0.5125,0.0021,0.0001,0,0.8123,0.1039,0.1555,50745,0.056,0.153,0.7172,0.1247,0.0492,0.0051,0.1719,0,0,0,Rural,4,4,3,4,4,43.97537379
48393,0.1298,0.6243,0.2459,0.8232,0,0.1381,0,0,0,0.9357,0.2589,0.1183,62717,0,0.0881,0.771,0,0,0,0.0973,0,0,0,Rural,2,1,1,4,2,0
48395,0.1986,0.6023,0.1991,0.5608,0.1987,0.2178,0.0034,0.0005,0.0004,0.8494,0.1783,0.1578,55709,0.0944,0.1447,0.7889,0.1273,0.0751,0.0228,0.2902,0,1,0,Urban,4,3,3,5,4,35.63156957
48397,0.2188,0.6593,0.1219,0.6828,0.0712,0.1883,0.0297,0.0017,0.0005,0.9356,0.4378,0.0392,111595,0.0361,0.0744,0.9576,0.0029,0.0712,0.0652,0.2342,0,1,3.41,Urban,2,1,1,2,1,22.80783449
48399,0.2028,0.5902,0.207,0.6029,0.027,0.3513,0.0009,0,0,0.832,0.1762,0.1314,52103,0.0197,0.1473,0.7731,0.0441,0.0395,0.1553,0.206,0,1,9.61,Rural,4,3,4,4,4,40.45716598
48401,0.1845,0.6525,0.163,0.6256,0.1638,0.1755,0.0052,0.0006,0.0012,0.8454,0.1596,0.1171,60330,0.0608,0.1216,0.7002,0.0803,0.0741,0.1108,0.1702,0,1,0,Urban,5,4,4,4,4,17.12915382
48403,0.1527,0.5457,0.3016,0.8429,0.0551,0.0484,0.0114,0.0013,0.0025,0.8638,0.1849,0.1948,41308,0.1022,0.2462,0.7994,0.0154,0.055,0.0567,0.1587,0,0,0,Rural,3,4,5,4,4,40.1042711
48405,0.1581,0.5672,0.2747,0.6907,0.2241,0.0763,0,0.0035,0,0.8108,0.1206,0.2507,43130,0.1136,0.2034,0.7458,0.0435,0.077,0,0.2517,0,1,0,Rural,4,4,5,5,5,37.66951281
48407,0.1766,0.6068,0.2166,0.7358,0.0933,0.1428,0.0016,0.0006,0.0003,0.8449,0.1432,0.17,46678,0.0772,0.2003,0.7872,0.0105,0.0409,0.0362,0.1782,0,0,3.68,Rural,5,3,3,5,4,32.87070855
48409,0.2221,0.6298,0.1481,0.372,0.0188,0.5854,0.0094,0.0001,0.0018,0.8175,0.1659,0.1567,59532,0.0431,0.1573,0.7687,0.051,0.2314,0.0484,0.1691,0,1,1.5,Urban,5,3,3,5,4,14.57725948
48411,0.1617,0.6036,0.2346,0.6312,0.0178,0.3072,0.0014,0.0005,0.0017,0.8164,0.1697,0.11,46927,0.0337,0.1583,0.8097,0.1355,0.0193,0.0324,0.3233,0,0,0,Rural,4,4,3,4,4,34.63203463
48413,0.1936,0.5799,0.2265,0.4299,0.0118,0.543,0,0,0.0055,0.8492,0.1676,0.117,61094,0.1639,0.0495,0.6716,0,0.196,0,0.1478,0,0,0,Rural,4,4,2,3,3,39.26187672
48415,0.2072,0.6424,0.1503,0.5118,0.0425,0.4161,0.0057,0.0002,0,0.8101,0.1576,0.1321,53376,0.0291,0.0954,0.7892,0.1958,0.0318,0.0258,0.2283,0,1,5.78,Rural,5,4,5,4,5,35.32528702
48417,0.1812,0.6203,0.1984,0.8477,0.0022,0.1196,0.0016,0.0057,0,0.9056,0.3282,0.1063,54896,0.072,0.1608,0.8613,0.3844,0.0182,0.0495,0.1201,0,0,0,Rural,2,3,5,3,3,31.79650238
48419,0.2195,0.6076,0.1729,0.6097,0.1852,0.1881,0.0048,0.0008,0,0.8066,0.1419,0.2364,44504,0.0597,0.1457,0.7501,0.1047,0.0374,0.2493,0.1753,1,0,7.78,Rural,4,4,4,5,4,37.10728127
48421,0.1718,0.6636,0.1646,0.5159,0.0008,0.4523,0.0233,0,0,0.716,0.2024,0.1163,55667,0.0184,0.1016,0.8049,0.3948,0,0,0.1849,0,0,0,Rural,4,4,3,3,3,42.42681375
