fips,Percent-of-Population-Under-15-(2017-2021),Percent-of-Population-Aged-15-to-64-(2017-2021),Percent-of-Population-65+-(2017-2021),Percent-of-Population-White-(non-Hispanic)-(2017-2021),Percent-of-Populaiton-Black-(non-Hispanic)-(2017-2021),Percent-of-Population-Hispanic-or-Latino-(2017-2021),Percent-of-Population-Asian-(non-Hispanic)-(2017-2021),Percent-of-Population-Native-American/Alaska-Native-(non-Hispanic)-(2017-2021),Percent-of-Population-Native-Hawaiian/Pacific-Islander-(2017-2021),Percent-of-Population-Aged-25+-who-Have-at-Least-a-High-School-Diploma-(2017-2021),Percent-of-Population-Aged-25+-who-Have-a-Bachelor's-Degree-or-More-(2017-2021),Poverty-Rate-(2017-2021),Median-Household-Income-(2017-2021),Unemployment-Rate-(2017-2021),Percent-of-Residents-with-a-Disability-(Aged-18-64)-(2017-2021),%-of-households-with-broadband-internet-connection-(2017-2021),Percent-of-Popualtion-Employed-in-Mining-and-Natural-Resources-(2017-2021),Percent-of-Popualtion-Employed-in-Construction-(2017-2021),Percent-of-Popualtion-Employed-in-Manufacturing-(2017-2021),Percent-of-Popualtion-Employed-in-Trade-Transporation-and-Utilities-(2017-2021),Number-of-Substance-Use-Facilities-(As-of-March-2023),Number-of-Mental-Health-Facilities-(As-of-March-2023),MDsPerCapita,Urbanicity,Social-Resilience-Score,Economic-Risk-Score,Social-Risk-Score,Economic-Resilience-Score,Prosperity-Index-Score,death-rate-2018-2021
37085,0.5393562347849608,0.6577726218097447,0.17521994134897356,0.6008449854139422,0.23689655172413793,0.1364284259824883,0.024464831804281346,0.00859008131943649,0.010797840431913617,0.8647313156269302,0.29186785260482845,0.23780698720166032,0.3046767636280348,0.18969771745835903,0.27290112832281505,0.730635838150289,0.020800933125972008,0.09040708873763967,0.0897081026673377,0.3287988422575977,0.010169491525423728,0.020202020202020204,0.012071204828481933,0.0,0.75,0.25,0.25,0.75,0.5,0.2409123243854624
37087,0.34757911820394916,0.5647718484145399,0.3933284457478005,0.9187204506588874,0.008045977011494253,0.04408470779881898,0.011358671909130624,0.0051540487916618945,0.0,0.8805435453983941,0.3524777636594663,0.19318574887582154,0.2501860971140632,0.10888340530536705,0.27997705106138837,0.658464079273328,0.0062208398133748065,0.06202645434698858,0.1901107196779064,0.291027496382055,0.013559322033898305,0.015151515151515152,0.12827565131026053,1.0,0.5,0.5,0.5,0.5,0.5,0.21355053084692438
37089,0.36272653502840135,0.5317092034029389,0.4144061583577711,0.8236595915903833,0.03735632183908046,0.10649562207289757,0.02948885976408912,0.0020616195166647576,0.0,0.9040148239654108,0.4195679796696315,0.15842269111034246,0.30648047411818596,0.11690314620604567,0.21132147638171733,0.8231213872832371,0.05346034214618974,0.06767689739309105,0.17299949672873682,0.30274963820549927,0.01694915254237288,0.015151515151515152,0.08266483306593324,1.0,0.25,0.0,0.25,0.5,0.25,0.15764158587970392
37091,0.35217744116851496,0.6415313225058005,0.3174486803519061,0.32230157931797604,0.6732183908045977,0.03899409488902464,0.020751419833988642,0.010422632000916277,0.001799640071985603,0.8069178505250154,0.20724269377382465,0.3389830508474576,0.18906035272560695,0.2628007402837754,0.332568368712947,0.6168455821635013,0.04024105754276828,0.05188134069603185,0.13512833417211878,0.3205499276410999,0.0,0.005050505050505051,0.0943540377416151,0.0,0.75,0.75,0.5,0.75,0.75,0.13967136151760484
37093,0.578577224776846,0.6736272235112141,0.13343108504398823,0.3769238507192435,0.3696551724137931,0.14538790470372634,0.033420707732634336,0.08235024624899784,0.004199160167966407,0.8558369363804817,0.2519695044472681,0.288654444828779,0.2601566078790655,0.229796421961752,0.36201950659781984,0.7991742361684558,0.026438569206842923,0.049698214973674076,0.2747861097131354,0.1962373371924747,0.006779661016949152,0.005050505050505051,0.029490411796164722,1.0,1.0,0.75,0.25,1.0,0.75,0.18940846098008207
37095,0.41709494184473894,0.5904872389791184,0.32184750733137824,0.5491399255608087,0.32183908045977017,0.14223172469965384,0.0,0.0017180162638872982,0.0,0.7445336627547869,0.14155019059720456,0.3970944309927361,0.22523476866697206,0.21036397285626157,0.2845668387837062,0.524525185796862,0.12752721617418353,0.07782201104404778,0.12934071464519378,0.2778581765557164,0.0,0.0,0.13576285430514173,0.0,0.5,1.0,0.25,0.25,0.5,0.09349939678789494
37097,0.44630781714903967,0.662799690641918,0.2335043988269794,0.7476109043355799,0.1332183908045977,0.08216249236408063,0.05242463958060289,0.0011453441759248656,0.000599880023995201,0.8972205064854849,0.4017789072426937,0.1482186094776894,0.3558391548327989,0.148673658235657,0.18244406196213422,0.8812551610239474,0.011858475894245725,0.080647232567099,0.19300452944136892,0.30463096960926195,0.03389830508474576,0.03535353535353535,0.10031324012529606,1.0,0.25,0.0,0.25,0.5,0.25,0.12771677584186045
37099,0.3083581282120638,0.6821345707656613,0.3086510263929618,0.794588069610703,0.022758620689655173,0.06454897169619223,0.02162516382699869,0.08544267552399497,0.000599880023995201,0.8737492279184682,0.36531130876747137,0.312175717744725,0.22102611085661933,0.20882171499074645,0.21438133486326258,0.6369942196531793,0.01010886469673406,0.05920123282393734,0.03145445395067942,0.220260492040521,0.0,0.0,0.12972725189090079,0.0,0.5,0.5,0.0,0.75,0.5,0.28097348562518437
37101,0.5068974844468488,0.6678267594740911,0.18768328445747795,0.656774972336787,0.1835632183908046,0.1439625330889839,0.015290519877675842,0.00297789485740465,0.002999400119976005,0.8680667078443484,0.31257941550190593,0.19629885852646145,0.3501274049473202,0.1314003701418877,0.2363740676993689,0.7436829066886871,0.023522550544323485,0.1109541543598305,0.1821841972823352,0.3059334298118669,0.020338983050847456,0.015151515151515152,0.025135610054244025,1.0,0.5,0.0,0.25,0.75,0.25,0.13923985740894246
37103,0.35217744116851496,0.5906805877803557,0.3656524926686216,0.6183482547027462,0.3193103448275862,0.05538586845856241,0.02839667977282656,0.00859008131943649,0.0,0.8022235948116121,0.18729351969504446,0.33984780352819094,0.1810295464956482,0.1971005552128316,0.3591508892713712,0.5350949628406276,0.1588258164852255,0.10235007063053807,0.02415702063412179,0.19739507959479016,0.0,0.0,0.0,1.0,0.5,0.75,0.5,1.0,0.75,0.0941811423451207
37105,0.48579929672707595,0.6239365815931941,0.24340175953079177,0.5711699024243033,0.2132183908045977,0.20057014864589698,0.024683267802533857,0.006413927385179246,0.0,0.8296479308214947,0.26467598475222365,0.24109304738844692,0.2903472858451672,0.16008636644046886,0.302734748517881,0.6416184971098267,0.013024883359253501,0.0633106459483755,0.3788374433819829,0.25803183791606366,0.006779661016949152,0.0,0.06417602567041028,0.0,0.5,0.5,0.25,0.75,0.5,0.28728434070864795
37107,0.4484717338382472,0.5846867749419954,0.3060850439882697,0.4817422794487476,0.4516091954022989,0.08195886784768887,0.016601135867190912,0.0017180162638872982,0.0,0.7728227300802966,0.17738246505717917,0.3817018332756832,0.1716602725606963,0.2871684145589143,0.3897494740868235,0.6690338563170933,0.0291601866251944,0.07756517272377039,0.3544287871162557,0.21201157742402316,0.006779661016949152,0.015151515151515152,0.09168003667201467,0.0,0.75,0.5,0.75,0.75,0.75,0.20234804136374518
37109,0.4073573167433054,0.6477184841453982,0.2741935483870967,0.8394527713509707,0.05701149425287356,0.07523925880676033,0.01834862385321101,0.0011453441759248656,0.002999400119976005,0.8701667696108709,0.30813214739517153,0.16430300933932898,0.34563960146587264,0.13880320789636028,0.2321667622872442,0.8254335260115607,0.008359253499222395,0.0843713882111211,0.25415198792148974,0.3059334298118669,0.013559322033898305,0.015151515151515152,0.01917640767056307,1.0,0.5,0.0,0.25,0.75,0.25,0.17172969923800824
37111,0.3900459832296456,0.6144624903325598,0.3174486803519061,0.8693290413439292,0.03701149425287356,0.06444715943799634,0.023154215814766274,0.0016034818462948115,0.0,0.8270537368746139,0.23202033036848793,0.2184365271532342,0.23982191937700412,0.19463294262800743,0.34002677376171353,0.709661436829067,0.021189735614307932,0.044047771927571595,0.475968797181681,0.22286541244573083,0.013559322033898305,0.015151515151515152,0.050882420352968145,0.0,0.75,0.5,0.5,1.0,0.75,0.19232712738191834
37113,0.33297268055179874,0.5030935808197989,0.46169354838709675,0.8828085705663413,0.015172413793103448,0.07676644267969863,0.013761467889908258,0.004008704615737029,0.0,0.8696726374305126,0.304574332909784,0.26202006226219304,0.2223144754924416,0.12985811227637262,0.2612354178619239,0.6690338563170933,0.00505443234836703,0.10119429818928984,0.04655259184700554,0.3060781476121563,0.006779661016949152,0.005050505050505051,0.022461608984643597,0.0,0.5,0.5,0.5,0.25,0.25,0.19234278624271137
37115,0.3356775764133081,0.6160092807424594,0.35282258064516125,0.9299869228447842,0.016206896551724137,0.025860313581755244,0.007426823940585408,0.004008704615737029,0.0,0.8785670166769611,0.4029224904701397,0.2182635766170875,0.24541199038021072,0.08389882788402221,0.2801682922164849,0.6221304706853841,0.01010886469673406,0.07307050211891615,0.12154001006542528,0.21693198263386398,0.006779661016949152,0.0,0.10848804339521737,1.0,0.5,0.25,0.5,0.75,0.5,0.18583384270664727
37117,0.40789829591560717,0.545630317092034,0.3706011730205278,0.5123227039533246,0.4849425287356322,0.04377927102423131,0.01397990388816077,0.0020616195166647576,0.002399520095980804,0.7912291537986411,0.1843710292249047,0.32116914562435145,0.1767135249656436,0.3210980876002468,0.3145917001338688,0.6393063583815028,0.08534214618973562,0.041993065365352515,0.14569703069954706,0.2916063675832128,0.006779661016949152,0.005050505050505051,0.0,0.0,0.5,0.75,0.75,1.0,0.75,0.19770704844950962
37119,0.4730862861779821,0.7314385150812065,0.15029325513196476,0.45267075746906754,0.3564367816091954,0.13927916921197314,0.1310615989515072,0.001947085099072271,0.001799640071985603,0.8941321803582458,0.5963151207115629,0.16205465236942238,0.4009319170865781,0.1431215299198026,0.12335054503729202,0.8979355904211398,0.0033048211508553654,0.06420958006934635,0.061147458480120785,0.29290882778581767,0.1423728813559322,0.13636363636363635,0.09213843685537476,1.0,0.0,0.0,0.0,0.25,0.0,0.13402556260403223
37121,0.34189883689477957,0.5665119876256766,0.3955278592375366,0.9143949300875164,0.0034482758620689655,0.06068010588474853,0.0061162079510703364,0.005726720879624328,0.0,0.8630018529956763,0.2836086404066074,0.20356278104462128,0.22339527027027026,0.1971005552128316,0.2631478294128896,0.659289843104872,0.0390746500777605,0.05843071786310518,0.01019124308002013,0.32315484804630973,0.003389830508474576,0.0,0.10008404003361603,0.0,0.25,0.25,0.75,0.75,0.5,0.16155552583900148
37123,0.43034893156613474,0.5879737045630316,0.31524926686217003,0.6227743687757771,0.20034482758620692,0.15994705762573813,0.03669724770642202,0.005841255297216815,0.0,0.7885114268066707,0.20991105463786533,0.24870287097890004,0.2398433921209345,0.1039481801357187,0.31688659399502767,0.5890999174236169,0.03188180404354588,0.0633106459483755,0.42564167086059385,0.18075253256150509,0.0,0.0,0.05561922224768891,0.0,0.75,0.75,0.5,0.75,0.75,0.27139417807852084
37125,0.4322423586691912,0.5195282289249805,0.37884897360703806,0.7623981490795695,0.12218390804597702,0.07279576461005904,0.024464831804281346,0.005841255297216815,0.003599280143971206,0.9121680049413219,0.5100381194409148,0.1468350051885161,0.3602482249198351,0.13355953115360888,0.2264295276343469,0.8138728323699422,0.013219284603421462,0.057274945421856946,0.06227981882234525,0.23270622286541245,0.02711864406779661,0.005050505050505051,0.09030483612193446,0.0,0.0,0.25,0.25,0.5,0.25,0.15363574601352345
37127,0.43305382742764403,0.625676720804331,0.27767595307917886,0.4785232873956342,0.4675862068965517,0.07442476074119324,0.01922236784622106,0.005726720879624328,0.002399520095980804,0.851266213712168,0.2775095298602287,0.23365617433414046,0.25572606504809897,0.21745835903763108,0.2620003824823102,0.742857142857143,0.04665629860031104,0.06459483754976243,0.22722697533970812,0.2986975397973951,0.02711864406779661,0.010101010101010102,0.048590419436167785,1.0,0.5,0.25,0.5,0.75,0.5,0.19260067494435873
37129,0.35488233703002425,0.6873549883990718,0.2719941348973607,0.7674278241625592,0.1417241379310345,0.05996742007737732,0.02839667977282656,0.0020616195166647576,0.004799040191961608,0.9306979617047559,0.5442185514612452,0.21463161535800765,0.32390202702702703,0.15330043183220235,0.18378275004781028,0.8693641618497111,0.002332814930015552,0.08693977141389496,0.055359838953195774,0.28350217076700435,0.05084745762711865,0.03535353535353535,0.20826648330659336,1.0,0.0,0.25,0.0,0.25,0.0,0.27792272676116997
37131,0.3343251284825534,0.5390564578499613,0.4266862170087976,0.38124937129061465,0.6313793103448276,0.0246385664834046,0.002621231979030144,0.0018325506814797848,0.0,0.7720815318097591,0.21207115628970774,0.3389830508474576,0.16215500458085202,0.23411474398519433,0.26735513482501433,0.35573905862923205,0.09331259720062209,0.04905611917298061,0.1089582284851535,0.5525325615050651,0.0,0.005050505050505051,0.03705401482160593,0.0,0.75,0.75,1.0,1.0,1.0,0.1960893750902861
37133,0.5201514741682446,0.7354988399071926,0.11455278592375365,0.6517452972537975,0.157816091954023,0.13296680920382814,0.04193971166448231,0.003206963692589623,0.010197960407918417,0.9057442865966646,0.31550190597204575,0.20927014873746114,0.2692896816307833,0.21252313386798274,0.3193727290112832,0.8810900082576386,0.006415241057542769,0.060485424425324265,0.02440865626572723,0.29015918958031844,0.03728813559322034,0.010101010101010102,0.0493544197417679,1.0,1.0,0.25,0.25,1.0,0.75,0.19170258817973923
37135,0.36705436840681627,0.7459396751740139,0.20839442815249262,0.6871542098380444,0.12344827586206895,0.08755854204846263,0.16994320664045434,0.0033214981101821095,0.000599880023995201,0.9297096973440396,0.7783989834815757,0.1964718090626081,0.44445716903344024,0.13571869216533003,0.12201185695161597,0.8947976878612719,0.005637636080870917,0.03287530499550533,0.029441368897835937,0.16512301013024602,0.023728813559322035,0.010101010101010102,0.22408128963251586,1.0,0.0,0.0,0.0,0.25,0.0,0.10280676638382659
37137,0.2534487422234244,0.5293890177880896,0.4906524926686216,0.7404687657177347,0.2167816091954023,0.043168397475056,0.01397990388816077,0.002290688351849731,0.0,0.8788140827671402,0.2991105463786531,0.22570044967139397,0.25062270957398075,0.1727328809376928,0.3080895008605852,0.7139554087530966,0.034992223950233284,0.073969436239887,0.07599396074484148,0.2971056439942113,0.003389830508474576,0.0,0.0,1.0,0.5,0.75,0.5,0.5,0.5,0.5001491363887629
37139,0.44928320259670007,0.6359242072699148,0.25696480938416416,0.536867518358314,0.4125287356321839,0.061290979433923844,0.02664919178680647,0.0016034818462948115,0.004199160167966407,0.874366893143916,0.3263024142312579,0.2056381874783812,0.28201586120018324,0.15977791486736584,0.2419200611971696,0.7895953757225435,0.012441679626749613,0.04160780788493643,0.05372420734776045,0.33863965267727936,0.013559322033898305,0.005050505050505051,0.09572923829169531,0.0,0.5,0.25,0.25,0.75,0.5,0.300126325457261
37141,0.4406275358398701,0.6301237432327919,0.26832844574780057,0.7409717332260336,0.15563218390804598,0.07676644267969863,0.012669287898645696,0.0018325506814797848,0.002999400119976005,0.87609635577517,0.3682337992376112,0.19560705638187478,0.3476580393953275,0.2205428747686613,0.2805507745266781,0.7748967795210571,0.057153965785381025,0.10825735199691795,0.06706089582284852,0.3238784370477569,0.006779661016949152,0.010101010101010102,0.06776682710673085,1.0,0.5,0.0,0.25,0.5,0.25,0.20872940432617323
37143,0.3738166080605896,0.4889791183294664,0.4473973607038122,0.7086812191932401,0.25839080459770114,0.029118305844023622,0.013324595893403235,0.002519757187034704,0.0,0.8380481778875849,0.25844980940279544,0.2056381874783812,0.2578804970224462,0.15885256014805677,0.3061770893096194,0.7012386457473164,0.0797045101088647,0.06305380762809812,0.021263210870659285,0.3279305354558611,0.0,0.0,0.05668882267552908,0.0,0.75,0.25,0.5,0.75,0.5,0.25332641126445493
37145,0.40329997295104136,0.6154292343387472,0.3077346041055718,0.6563725983301478,0.29770114942528736,0.04744451231928325,0.00961118392311053,0.0026342916046271903,0.000599880023995201,0.8567016676961087,0.22337992376111818,0.29609131788308546,0.27664051763628034,0.161628624305984,0.3386880856760375,0.7521056977704377,0.02235614307931571,0.0721715679979453,0.19942123804730752,0.3369030390738061,0.006779661016949152,0.005050505050505051,0.038964015585606235,1.0,0.5,0.25,0.5,0.75,0.5,0.1858060463331865
37147,0.4222342439816067,0.7267981438515082,0.189149560117302,0.5313348757670254,0.40344827586206894,0.06689065363469761,0.03778942769768458,0.0017180162638872982,0.003599280143971206,0.8827671402100062,0.4147395171537484,0.33690764441369775,0.23844050618415025,0.2282541640962369,0.21552878179384202,0.7818331957060282,0.014191290824261276,0.056889687941440864,0.10770005032712632,0.22098408104196818,0.05423728813559322,0.015151515151515152,0.10466804186721675,1.0,0.25,0.5,0.25,0.5,0.25,0.21623681126286554
37149,0.2959156072491209,0.4860788863109048,0.502932551319648,0.8602756261945478,0.05471264367816092,0.06139279169211973,0.01507208387942333,0.001259878593517352,0.0,0.916615194564546,0.42909783989834815,0.14389484607402286,0.27162305313788365,0.11659469463294263,0.28686173264486514,0.7270024772914947,0.04335147744945568,0.05342237061769616,0.07913940613990941,0.14008683068017366,0.003389830508474576,0.005050505050505051,0.1879440751776301,0.0,0.25,0.0,0.5,0.25,0.25,0.13573378664034694
37151,0.4406275358398701,0.6310904872389792,0.2672287390029325,0.777688361331858,0.06436781609195402,0.12268377112604358,0.02664919178680647,0.002176153934257244,0.000599880023995201,0.8085237801111798,0.20419313850063533,0.24057419578000694,0.24685782180485571,0.1431215299198026,0.3073245362401989,0.7587118084227912,0.013802488335925352,0.06472325670990112,0.421112229491696,0.22952243125904487,0.013559322033898305,0.010101010101010102,0.03216441286576515,1.0,0.75,0.5,0.5,1.0,0.75,0.3742854327949381
37153,0.4687584527995672,0.6117556071152359,0.26667888563049846,0.5564832511819737,0.3652873563218391,0.07004683363877011,0.01703800786369594,0.03367311877219104,0.0,0.7933292155651637,0.22287166454891993,0.4107575233483224,0.1561569514429684,0.2742134484885873,0.271562440237139,0.6606110652353427,0.05190513219284604,0.050853987414922315,0.29151987921489686,0.25426917510853836,0.010169491525423728,0.010101010101010102,0.11696844678737874,0.0,0.75,0.75,0.75,1.0,0.75,0.3245498565381276
37155,0.5090614011360561,0.6305104408352667,0.22159090909090906,0.23377929785735843,0.26471264367816094,0.09102015882712278,0.012669287898645696,0.47279807582178446,0.001199760047990402,0.7345274861025325,0.17992376111817027,0.450882047734348,0.1404818483737975,0.20604565083281925,0.27653471026965004,0.4873658133773741,0.016912908242612754,0.04237832284576859,0.22684952189229995,0.2479015918958032,0.061016949152542375,0.050505050505050504,0.10222324088929637,0.0,0.75,0.75,0.75,1.0,1.0,0.45455501708022805
37157,0.3938328374357587,0.6121423047177107,0.3168988269794721,0.7133085202695906,0.2081609195402299,0.06454897169619223,0.014635211882918307,0.0018325506814797848,0.006598680263947211,0.8069178505250154,0.19758576874205844,0.29436181252161886,0.21389715987173613,0.20573719925971623,0.2794033275960987,0.6255986787778696,0.006609642301710731,0.06575060999101066,0.2734021137393055,0.34949348769898697,0.013559322033898305,0.015151515151515152,0.07479562991825196,1.0,0.75,0.5,0.5,0.75,0.75,0.32851867750888825
37159,0.43765215039220984,0.6378576952822892,0.26301319648093835,0.7073735036716627,0.18172413793103448,0.09580533496232947,0.022935779816513763,0.0017180162638872982,0.001199760047990402,0.8452130945027795,0.25260482846251586,0.26893808370805955,0.2611872995877233,0.21745835903763108,0.2742398164084911,0.7966969446738233,0.020023328149300156,0.07692307692307693,0.18054856567689984,0.34008683068017365,0.023728813559322035,0.030303030303030304,0.10466804186721675,1.0,0.5,0.25,0.5,0.75,0.5,0.30726965916496335
37161,0.39329185826345675,0.5916473317865428,0.3368768328445747,0.8224524695704658,0.10459770114942528,0.04897169619222154,0.010921799912625601,0.001947085099072271,0.001199760047990402,0.8285361334156887,0.24548919949174078,0.2945347630577655,0.20321089097572148,0.1875385564466379,0.36010709504685406,0.6625928984310487,0.011469673405909799,0.07499678952099653,0.19313034725717163,0.267438494934877,0.006779661016949152,0.005050505050505051,0.03438001375200551,0.0,0.75,0.5,0.75,0.75,0.75,0.20737217201743058
37163,0.49256153638084926,0.5893271461716937,0.2718108504398826,0.4982396137209536,0.2888505747126437,0.20851150478517616,0.013543031891655745,0.01832550681479785,0.0,0.7827053736874615,0.18678526048284624,0.3493600830162574,0.20054111314704534,0.2066625539790253,0.2495697074010327,0.6170107349298102,0.250194401244168,0.06793373571336844,0.20118268746854553,0.2557163531114327,0.010169491525423728,0.005050505050505051,0.03598441439376576,0.0,0.75,0.5,0.75,0.5,0.75,0.14769848210842554
37165,0.46794698404111434,0.6090487238979118,0.26979472140762456,0.4138416658283875,0.44298850574712645,0.03400529423742619,0.02249890782000874,0.14225174664986828,0.0,0.7767757875231625,0.19491740787801778,0.4303009339328952,0.16288507787448464,0.3485502776064158,0.25798431822528206,0.6156895127993394,0.013802488335925352,0.04135096956465905,0.23251132360342225,0.26034732272069466,0.010169491525423728,0.010101010101010102,0.0855680342272137,0.0,0.75,0.75,0.75,1.0,0.75,0.236557965805085
37167,0.4181769001893427,0.6220030935808197,0.2912390029325512,0.7996177446936927,0.13137931034482758,0.046120952962736717,0.04041065967671472,0.0003436032527774596,0.0,0.8350833848054355,0.22782719186785258,0.20961604980975446,0.2816722972972973,0.14466378778531772,0.2857142857142857,0.7978530140379853,0.03090979782270607,0.08154616668806987,0.21930045294413691,0.2625180897250362,0.006779661016949152,0.010101010101010102,0.05042402016960807,0.0,0.75,0.25,0.5,0.5,0.5,0.29325829742791576
